nan,kierunek,date,dzień tygodnia,start_time,liczba godzin lekcyjnych,class,title,instructor,subject,method,room,uwagi
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,7,mgr,CZEKAŁA Beata,Podstawy pielęgniarstwa- konwersatorium + ICNP,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,7,dr n. med.,TRITT Remigiusz,Genetyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,11,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,11,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,12,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,12,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,13,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,13,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-11-09,niedziela,8.00-11.45,5,7 a,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-11-09,niedziela,12.00-15.45,5,5 a,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-11-09,niedziela,16.00-19.45,5,6 a,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-11-09,niedziela,8.00-11.45,5,7 b,mgr,KAPTUREK Agnieszka,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
